"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1217489343490805760""",https://twitter.com/cnn/status/1217489343490805760,"2020-01-15 16:50:54","""Engineers are closely watching a dam in eastern Mississippi Wednesday over concerns that it could fail, as recent rains are posing flooding threats around the South and Midwest. https://t.co/zbL7NjQTN1""",Tweet,SocialFlow,52,132,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217486623379726337""",https://twitter.com/cnn/status/1217486623379726337,"2020-01-15 16:40:05","""The Senate has drafted a document on decorum guidelines for the impeachment trial. Here are some of the rules senators must follow. https://t.co/3pnqlkgekm""",Tweet,SocialFlow,34,78,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217484099209846785""",https://twitter.com/cnn/status/1217484099209846785,"2020-01-15 16:30:03","""American politics is the biggest threat facing the world in 2020 and the looming presidential election will stress the country's institutions, influence economic and foreign policy and further divide an already polarized electorate, experts say. https://t.co/rZTwYMkfcG""",Tweet,SocialFlow,60,228,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217481593058664448""",https://twitter.com/cnn/status/1217481593058664448,"2020-01-15 16:20:06","""The US Food and Drug Administration warns that prescription weight loss medicine Belviq might be associated with an increased risk of cancer. https://t.co/VyrX9dKdPw""",Tweet,SocialFlow,90,125,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217478606479417360""",https://twitter.com/cnn/status/1217478606479417360,"2020-01-15 16:08:14","""The entire Russian government is resigning, Prime Minister Dmitry Medvedev announced Wednesday, after Vladimir Putin proposed sweeping reforms that could extend his decades-long grip on power beyond the end of his presidency. https://t.co/TVhuhxOocE https://t.co/8t4SyiHzQb""",Tweet,SocialFlow,412,692,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217474925847597058""",https://twitter.com/cnn/status/1217474925847597058,"2020-01-15 15:53:36","""In its annual report reviewing human rights standards in nearly 100 countries, NGO Human Rights Watch warned that the Chinese government is carrying out an intensive attack on the global system for enforcing human rights https://t.co/VwGjqesKKa""",Tweet,SocialFlow,87,237,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217471540817813504""",https://twitter.com/cnn/status/1217471540817813504,"2020-01-15 15:40:09","""The answer is: The greatest ""Jeopardy!"" champion of all time.

The question is: Who is Ken Jennings?

https://t.co/9RJcEOKAaO https://t.co/55uAP5SWd1""",Tweet,SocialFlow,50,261,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217468203334619142""",https://twitter.com/cnn/status/1217468203334619142,"2020-01-15 15:26:53","""House Speaker Nancy Pelosi just announced who will serve as impeachment managers in the Senate trial and act as prosecutors by presenting the case against President Trump in the Ukraine scandal. https://t.co/80hYScuOqg https://t.co/0MmIe51ngn""",Tweet,"Twitter Media Studio",214,705,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217463988738576384""",https://twitter.com/cnn/status/1217463988738576384,"2020-01-15 15:10:08","""Democratic presidential hopeful Pete Buttigieg warns against ""going to the extreme"" on important election issues a day after he was assailed by his liberal competitors at last night's Democratic debate for being too moderate. https://t.co/KIUhOUOHZz""",Tweet,SocialFlow,28,182,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217461520885538821""",https://twitter.com/cnn/status/1217461520885538821,"2020-01-15 15:00:20","""This year's inductees to the Rock and Roll Hall of Fame are Depeche Mode, The Doobie Brothers, Whitney Houston, Nine Inch Nails, The Notorious B.I.G. and T-Rex. https://t.co/E80lA2ko81 https://t.co/D4jLcDU46h""",Tweet,SocialFlow,62,214,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
